run_id,element,charge,density,min_te,optimiser,optimal_weight,A,alpha,beta,V0,gamma,max_err_z1,max_err_z2,max_err_z3,passed_all,is_manual_override
20260526_140727,Be,3,13.0,1.5,slsqp,0.10,4.884097e-32,7999.9999,0.0800,13.1360,-2.0286,1.0891,1.0891,1.3590,False,False
20260526_140733,B,0,13.0,1.5,slsqp,0.10,6.402450e-30,8000.0000,0.2005,2.3336,-2.7977,1.0106,1.0106,1.0106,True,False
20260526_142053,B,1,13.0,1.5,slsqp,0.10,4.171989e-30,8000.0000,0.1298,2.6065,-2.8434,1.2692,1.2692,1.2692,False,False
20260526_142100,B,2,13.0,1.5,slsqp,0.10,1.151351e-30,8000.0000,0.2705,2.4950,-2.7035,1.0582,1.0582,1.0582,True,False
20260526_142904,B,3,13.0,1.5,slsqp,0.15,8.703342e-31,7999.9997,0.3649,14.4010,-2.6330,1.0033,1.0110,1.0215,False,False
20260526_143729,B,4,13.0,1.5,slsqp,0.15,8.844875e-31,8000.0000,0.0800,16.1881,-2.9094,1.0157,1.0449,1.2151,False,False
20260526_144348,C,0,13.0,1.5,slsqp,0.10,3.002252e-31,8000.0000,0.0816,3.3254,-1.9109,1.3064,2.0465,2.0465,False,False
20260526_145014,C,1,13.0,1.5,slsqp,0.10,5.536048e-31,7999.9999,0.0960,3.6077,-2.1324,1.2657,2.9448,2.9448,False,False
20260526_145655,C,2,13.0,1.5,slsqp,0.10,9.913786e-32,8000.0039,1.4925,3.6206,-0.7947,1.2642,1.6612,1.6612,False,False
20260526_150400,C,3,13.0,1.5,slsqp,0.10,5.058014e-31,8000.0000,0.1253,2.9522,-2.2926,1.2368,1.2368,1.2368,False,False
20260526_151145,C,4,13.0,1.5,slsqp,0.15,1.274751e-32,7999.9952,0.6150,17.3245,-1.5908,1.0460,1.0847,1.2957,False,False
20260526_152057,C,5,10.3,1.5,slsqp,0.10,3.469675e-32,7999.9999,0.0800,19.7500,-1.9985,1.0826,1.0826,1.6864,False,False
20260526_153513,C,5,10.7,1.5,slsqp,0.10,3.471660e-32,8000.0000,0.0800,19.7502,-1.9987,1.0825,1.0825,1.6002,False,False
20260526_154658,C,5,11.0,1.5,slsqp,0.10,3.469602e-32,7999.9999,0.0800,19.7495,-1.9986,1.0822,1.0822,1.6028,False,False
20260526_160926,C,5,11.3,1.5,slsqp,0.10,3.464939e-32,8000.4391,0.0800,19.7484,-1.9983,1.0819,1.0819,1.6258,False,False
20260526_162222,C,5,11.7,1.5,slsqp,0.10,3.457968e-32,7999.9930,0.0800,19.7468,-1.9979,1.0815,1.0815,1.6351,False,False
20260526_164630,C,5,12.0,1.5,slsqp,0.10,3.459273e-32,7999.9998,0.0800,19.7466,-1.9980,1.0814,1.0814,1.6303,False,False
20260526_165913,C,5,12.3,1.5,slsqp,0.10,3.462944e-32,7999.9999,0.0800,19.7470,-1.9983,1.0815,1.0815,1.6314,False,False
20260526_171029,C,5,12.7,1.5,slsqp,0.10,3.431487e-32,7999.9999,0.0800,19.7429,-1.9960,1.0804,1.0804,1.6229,False,False
20260526_172152,C,5,13.0,1.5,slsqp,0.10,3.446672e-32,7999.9998,0.0800,19.7428,-1.9975,1.0800,1.0800,1.6223,False,False
20260526_173740,C,5,13.3,1.5,slsqp,0.10,3.529248e-32,7999.9998,0.0800,19.7490,-2.0042,1.0828,1.0828,1.6365,False,False
20260526_174630,C,5,14.0,1.5,slsqp,0.10,3.467812e-32,8000.0000,0.0800,19.7387,-2.0000,1.0784,1.0784,1.6125,False,False
20260526_175648,C,5,14.3,1.5,slsqp,0.10,3.462464e-32,7999.9999,0.0800,19.7370,-1.9998,1.0779,1.0779,1.6085,False,False
20260526_180830,C,5,14.7,1.5,slsqp,0.10,3.446335e-32,7999.9999,0.0800,19.7316,-1.9992,1.0758,1.0758,1.5964,False,False
20260526_181829,C,5,15.0,1.5,slsqp,0.10,3.433090e-32,7999.8445,0.0800,19.7259,-1.9989,1.0742,1.0742,1.5839,False,False
20260526_183142,C,5,15.3,1.5,slsqp,0.10,3.435838e-32,7999.9999,0.0800,19.7217,-1.9998,1.0734,1.0734,1.5743,False,False
20260526_183900,N,0,13.0,1.5,slsqp,0.10,1.912363e-31,7999.9967,0.0803,3.5627,-1.9227,1.2562,2.1335,2.1335,False,False
20260526_184618,N,1,13.0,1.5,slsqp,0.10,1.026752e-31,7999.9672,1.1890,4.0590,-1.1168,1.2425,5.4150,5.4150,False,False
20260526_185220,N,2,13.0,1.5,slsqp,0.10,5.008739e-31,8000.0000,0.0811,4.0159,-2.1905,1.2711,4.0931,4.0931,False,False
20260526_185833,N,3,13.0,1.5,slsqp,0.10,4.362303e-31,8000.0000,0.0901,4.0196,-2.1399,1.2806,1.4422,1.4422,False,False
20260526_190534,N,4,13.0,1.5,slsqp,0.15,3.958720e-31,8000.0000,0.0820,3.2418,-2.2762,1.2088,1.2384,1.2384,False,False
20260526_190856,N,5,13.0,1.5,slsqp,0.15,7.576326e-32,7999.9999,0.0800,21.2067,-2.0908,1.0659,1.1074,1.3375,False,False
20260526_191217,N,5,13.3,1.5,slsqp,0.15,7.571038e-32,8000.0000,0.0800,21.2063,-2.0907,1.0653,1.1053,1.3388,False,False
20260526_191537,N,5,14.0,1.5,slsqp,0.15,7.552892e-32,8000.0001,0.0800,21.2074,-2.0901,1.0654,1.1109,1.3381,False,False
20260526_191906,N,5,14.3,1.5,slsqp,0.15,7.560800e-32,8000.0000,0.0800,21.2071,-2.0904,1.0654,1.1092,1.3400,False,False
